Name,Position,Grade,Level,Weight,Height
Caleb Foster,Guard,Junior,D1,205,6'5
Cayden Boozer,Guard,Freshman,D1,205,6'4
Isaiah Evans,Forward,Sophomore,D1,180,6'6
Nikolas Khamenia,Forward,Freshman,D1,215,6'8
Patrick Ngongba II,Big,Sophomore,D1,250,6'11
Justin Moore,Guard,Junior,D1,185,6'3
Kayde Dotson,Guard,Sophomore,D1,190,6'1
Joshua Ola-Joseph,Forward,Senior,D1,215,6'7
Kymany Hounisou,Guard,Senior,D1,210,6'7
Miles Rubin,Big,Junior,D1,220,6'10
Dallas Graziani,Guard,Senior,D2,145,5'8
Ross Reeves,Guard,Graduate,D2,190,6'4
Jaxon Nap,Forward,Freshman,D2,230,6'7
Bobby Rosenberger III,Guard,Junior,D2,205,6'5
Blaise Vespe,Big,Freshman,D2,225,6'7
Brandon Hillard,Guard,Junior,D2,190,6'3
Jacob Cooper,Guard,Senior,D2,165,5'8
Davian Coleman,Big,Junior,D2,215,6'9
William Hopkins,Guard,Freshman,D2,170,6'2
Tim Uzochuwku,Forward,Junior,D2,190,6'8
